incident_id,site_id,incident_date,category,severity,device_type,issue_type,resolution_time_hours,status,root_cause
INC000001,SITE011,2026-08-03,Provisioning,P2,Room Device,Poor Call Quality,2.57,Closed,User Error
INC000002,SITE012,2026-05-01,Dial Plan,P4,Desk Phone,Registration Failure,4.08,In Progress,QoS
INC000003,SITE016,2026-06-12,UAT,P2,Desk Phone,One-Way Audio,5.16,Resolved,Network
INC000004,SITE024,2026-08-18,Audio,P4,Soft Client,Poor Call Quality,3.03,Closed,Unknown
INC000005,SITE023,2026-07-05,Network,P3,Room Device,Provisioning Failure,8.82,Resolved,User Error
INC000006,SITE032,2026-06-10,Provisioning,P4,Mobile,One-Way Audio,1.77,Resolved,Network
INC000007,SITE016,2026-06-19,SIP,P3,Room Device,One-Way Audio,1.44,Closed,Configuration
INC000008,SITE013,2026-02-28,Registration,P3,Mobile,Provisioning Failure,1.78,Resolved,User Error
INC000009,SITE018,2026-05-20,User Configuration,P3,Room Device,Device Configuration,6.88,Closed,User Error
INC000010,SITE035,2026-02-08,SIP,P3,Room Device,Registration Failure,2.67,Resolved,Network
INC000011,SITE002,2026-07-02,Audio,P1,Room Device,Poor Call Quality,1.12,Resolved,Network
INC000012,SITE017,2026-05-27,Dial Plan,P4,Mobile,No Audio,2.25,Closed,User Error
INC000013,SITE028,2026-05-01,QoS,P4,Room Device,Dialing Issue,3.74,Resolved,Configuration
INC000014,SITE007,2026-03-18,Call Quality,P3,Soft Client,Device Configuration,10.22,Resolved,Provisioning
INC000015,SITE016,2026-02-21,QoS,P3,Room Device,Registration Failure,1.62,Resolved,Network
INC000016,SITE034,2026-02-18,Provisioning,P4,Desk Phone,Provisioning Failure,1.5,Closed,Device Issue
INC000017,SITE025,2026-04-20,UAT,P3,Mobile,Provisioning Failure,5.16,Resolved,Network
INC000018,SITE032,2026-05-03,Dial Plan,P2,Soft Client,One-Way Audio,1.43,Resolved,Unknown
INC000019,SITE019,2026-07-25,Registration,P3,Soft Client,Dialing Issue,0.99,Resolved,User Error
INC000020,SITE032,2026-06-17,Registration,P3,Soft Client,No Audio,6.07,Resolved,Provisioning
INC000021,SITE029,2026-01-21,Registration,P3,Desk Phone,Device Configuration,10.76,Resolved,Provisioning
INC000022,SITE035,2026-07-12,Provisioning,P2,Room Device,Poor Call Quality,2.04,In Progress,Configuration
INC000023,SITE006,2026-08-25,Device Configuration,P3,Soft Client,Dialing Issue,1.96,Open,Device Issue
INC000024,SITE001,2026-07-21,QoS,P2,Room Device,Registration Failure,2.95,Resolved,Provisioning
