migration_id,site_id,migration_date,wave,users_planned,users_migrated,devices_planned,devices_migrated,uat_status,deployment_status,user_migration_pct,device_migration_pct
MIG00001,SITE001,2026-05-30,Wave 1,35,32,45,38,Passed,Planned,91.43,84.44
MIG00002,SITE002,2026-03-27,Wave 3,58,48,54,43,Passed with Issues,In Progress,82.76,79.63
MIG00003,SITE003,2026-05-20,Wave 4,112,92,70,59,Passed with Issues,Completed,82.14,84.29
MIG00004,SITE004,2026-08-10,Wave 3,96,91,85,72,Passed,Completed,94.79,84.71
MIG00005,SITE005,2026-07-02,Wave 2,49,43,164,150,Passed with Issues,Completed,87.76,91.46
MIG00006,SITE006,2026-05-20,Wave 1,118,115,69,63,Passed,Completed,97.46,91.3
MIG00007,SITE007,2026-08-06,Wave 4,54,52,165,153,Passed,Delayed,96.3,92.73
MIG00008,SITE008,2026-03-14,Wave 3,59,50,118,113,Passed,Completed,84.75,95.76
MIG00009,SITE009,2026-01-15,Wave 5,65,58,163,154,Passed,Completed,89.23,94.48
MIG00010,SITE010,2026-06-10,Wave 2,135,126,82,65,Passed,Completed,93.33,79.27
MIG00011,SITE011,2026-03-26,Wave 2,65,54,46,44,Pending,In Progress,83.08,95.65
MIG00012,SITE012,2026-03-10,Wave 5,124,112,115,111,Pending,Completed,90.32,96.52
MIG00013,SITE013,2026-08-14,Wave 2,34,30,91,80,Passed,Completed,88.24,87.91
MIG00014,SITE014,2026-04-23,Wave 2,30,28,149,120,Failed,Completed,93.33,80.54
MIG00015,SITE015,2026-05-01,Wave 5,72,61,100,99,Passed,Planned,84.72,99.0
MIG00016,SITE016,2026-08-09,Wave 5,51,48,57,53,Passed with Issues,Planned,94.12,92.98
MIG00017,SITE017,2026-07-17,Wave 4,103,84,163,139,Passed,Completed,81.55,85.28
MIG00018,SITE018,2026-04-11,Wave 1,128,111,94,81,Passed,Completed,86.72,86.17
MIG00019,SITE019,2026-05-21,Wave 5,121,112,96,80,Passed,Delayed,92.56,83.33
MIG00020,SITE020,2026-01-22,Wave 1,107,96,50,48,Passed with Issues,Completed,89.72,96.0
MIG00021,SITE021,2026-02-12,Wave 3,100,86,171,146,Passed,Completed,86.0,85.38
MIG00022,SITE022,2026-05-22,Wave 2,111,96,61,56,Passed,Completed,86.49,91.8
MIG00023,SITE023,2026-06-19,Wave 5,124,124,76,72,Pending,In Progress,100.0,94.74
MIG00024,SITE024,2026-07-28,Wave 5,132,126,136,133,Passed,In Progress,95.45,97.79
MIG00025,SITE025,2026-08-21,Wave 3,128,119,111,95,Passed,Delayed,92.97,85.59
MIG00026,SITE026,2026-05-18,Wave 5,38,32,46,44,Passed with Issues,Completed,84.21,95.65
MIG00027,SITE027,2026-06-23,Wave 2,78,64,59,54,Pending,Delayed,82.05,91.53
MIG00028,SITE028,2026-02-08,Wave 5,137,128,154,154,Failed,Delayed,93.43,100.0
MIG00029,SITE029,2026-05-28,Wave 2,132,125,124,114,Passed,In Progress,94.7,91.94
MIG00030,SITE030,2026-08-07,Wave 2,146,136,96,89,Failed,Completed,93.15,92.71
MIG00031,SITE031,2026-05-04,Wave 2,139,118,170,141,Passed,Completed,84.89,82.94
MIG00032,SITE032,2026-01-04,Wave 4,124,117,88,84,Passed with Issues,Completed,94.35,95.45
MIG00033,SITE033,2026-05-01,Wave 1,56,52,114,109,Pending,Delayed,92.86,95.61
MIG00034,SITE034,2026-07-26,Wave 3,40,33,155,128,Passed,Planned,82.5,82.58
MIG00035,SITE035,2026-03-11,Wave 3,73,69,121,118,Passed,Completed,94.52,97.52
