device_id,site_id,user_id,device_type,model,firmware,registration_status,provisioning_status,last_registered
DEV00001,SITE010,USER01351,Cisco 8841,8865,15.0,Registered,Provisioned,2026-01-03
DEV00002,SITE019,USER02203,Webex App,8865,15.1,Unregistered,Provisioned,2026-04-19
DEV00003,SITE023,USER01876,Webex App,Webex App,15.0,Registered,Provisioned,2025-12-14
DEV00004,SITE008,USER00869,Room Kit,Webex App,15.1,None,Provisioned,2026-04-06
DEV00005,SITE017,USER01378,Cisco 8841,Webex App,14.2,Unregistered,Pending,2026-05-04
DEV00006,SITE029,USER00133,Room Kit,8865,14.3,Registered,Provisioned,2026-05-23
DEV00007,SITE006,USER01511,Webex App,8841,14.2,Unregistered,Pending,2026-04-17
DEV00008,SITE028,USER00694,Cisco 8865,Room Kit,14.3,Registered,Provisioned,2026-05-11
DEV00009,SITE006,USER00261,Room Kit,Room Kit,14.4,Registered,Provisioned,2025-12-24
DEV00010,SITE027,USER01228,Cisco 8841,Webex App,14.3,Registered,Provisioned,2026-02-18
DEV00011,SITE033,USER01028,Cisco 8851,Room Kit,14.3,Registered,Provisioned,2026-07-23
DEV00012,SITE029,USER00257,Cisco 8865,8865,15.1,Registered,Provisioned,2026-07-07
DEV00013,SITE013,USER00987,Webex App,Webex App,15.1,Unregistered,Provisioned,2026-05-17
DEV00014,SITE028,USER01559,Cisco 8851,8841,15.0,Registered,Pending,2026-02-22
DEV00015,SITE031,USER01315,Cisco 8865,8841,15.1,Unregistered,Provisioned,2026-04-16
DEV00016,SITE022,USER00572,Cisco 8841,8851,15.0,Unregistered,Failed,2026-05-10
DEV00017,SITE032,USER01038,Cisco 8851,8841,14.3,Registered,Provisioned,2026-02-19
DEV00018,SITE022,USER00007,Room Kit,Webex App,15.1,Registered,Provisioned,2026-07-21
DEV00019,SITE024,USER02017,Cisco 8841,8841,15.0,Unregistered,Provisioned,2026-08-08
DEV00020,SITE004,USER00755,Room Kit,8851,15.0,Registered,Provisioned,2026-07-26
DEV00021,SITE024,USER02467,Cisco 8851,Webex App,14.4,Registered,Provisioned,2025-11-18
DEV00022,SITE026,USER00908,Room Kit,8851,14.3,Registered,Provisioned,2026-05-12
DEV00023,SITE031,USER01471,Cisco 8865,Room Kit,15.0,Registered,Provisioned,2025-12-29
DEV00024,SITE031,USER02362,Webex App,8851,15.0,Registered,Provisioned,2026-03-15
DEV00025,SITE001,USER02335,Cisco 8841,8865,15.0,Registered,Provisioned,2026-08-20
DEV00026,SITE012,USER01476,Room Kit,8851,14.4,Registered,Pending,2026-02-22
DEV00027,SITE022,USER01046,Cisco 8841,8865,15.1,Registered,Provisioned,2026-07-21
DEV00028,SITE015,USER01762,Webex App,Room Kit,14.3,Registered,Provisioned,2026-03-11
DEV00029,SITE019,USER02287,Room Kit,Webex App,14.2,Registered,Provisioned,2026-01-29
DEV00030,SITE017,USER00795,Webex App,8865,14.2,Unregistered,Pending,2025-11-28
DEV00031,SITE027,USER01252,Room Kit,Room Kit,15.0,None,Provisioned,2026-06-30
DEV00032,SITE022,USER01889,Webex App,Webex App,15.0,Unregistered,Provisioned,2026-08-27
DEV00033,SITE033,USER00838,Cisco 8851,8841,15.0,Unregistered,Pending,2026-04-29
DEV00034,SITE008,USER01131,Webex App,Room Kit,15.0,Registered,Pending,2026-01-10
DEV00035,SITE003,USER02016,Room Kit,8841,15.0,Registered,Provisioned,2025-12-07
DEV00036,SITE016,USER00933,Cisco 8851,Room Kit,14.3,Unregistered,Provisioned,2025-11-22
DEV00037,SITE032,USER01647,Room Kit,8841,14.3,Registered,Provisioned,2026-02-02
DEV00038,SITE003,USER00005,Room Kit,8851,15.0,Registered,Provisioned,2026-07-31
DEV00039,SITE005,USER02183,Webex App,Webex App,14.2,Registered,Provisioned,2025-11-08
DEV00040,SITE033,USER00086,Room Kit,Room Kit,14.3,Registered,Provisioned,2025-12-21
DEV00041,SITE022,USER01385,Cisco 8851,8865,14.3,Unregistered,Provisioned,2026-05-30
DEV00042,SITE015,USER02275,Cisco 8851,Webex App,14.3,Unregistered,Provisioned,2025-12-24
DEV00043,SITE033,USER01639,Cisco 8865,Webex App,15.1,Registered,Provisioned,2026-06-11
DEV00044,SITE004,USER00733,Webex App,8865,14.4,Registered,Provisioned,2026-04-15
DEV00045,SITE034,USER00932,Webex App,8851,14.2,Unregistered,Provisioned,2025-12-21
DEV00046,SITE017,USER01101,Cisco 8865,Room Kit,15.1,Registered,Provisioned,2026-07-08
DEV00047,SITE005,USER02121,Cisco 8841,8851,14.3,None,Provisioned,2026-03-06
DEV00048,SITE017,USER00640,Cisco 8841,8865,14.2,Registered,Provisioned,2026-05-23
DEV00049,SITE030,USER01174,Cisco 8865,8851,15.0,Registered,Pending,2026-08-01
DEV00050,SITE034,USER01120,Room Kit,Room Kit,14.4,Registered,Provisioned,2026-04-06
DEV00051,SITE015,USER02280,Cisco 8841,8851,14.3,None,Provisioned,2026-06-19
DEV00052,SITE033,USER00355,Cisco 8851,Room Kit,14.2,Registered,Pending,2026-02-23
DEV00053,SITE019,USER00564,Cisco 8851,8865,15.0,Unregistered,Provisioned,2026-04-30
DEV00054,SITE034,USER00652,Webex App,8851,15.0,Registered,Provisioned,2026-03-17
DEV00055,SITE032,USER02166,Cisco 8865,Room Kit,14.3,Registered,Provisioned,2025-12-24
DEV00056,SITE020,USER00755,Cisco 8841,Room Kit,15.1,Registered,Provisioned,2026-07-15
DEV00057,SITE017,USER01180,Cisco 8851,Room Kit,14.4,None,Provisioned,2026-05-04
DEV00058,SITE007,USER00560,Webex App,Webex App,14.4,Registered,Provisioned,2026-06-14
DEV00059,SITE014,USER01762,Room Kit,8851,15.0,Registered,Pending,2025-12-10
DEV00060,SITE009,USER00252,Cisco 8851,8841,14.3,Registered,Failed,2025-12-14
DEV00061,SITE016,USER01614,Room Kit,8851,14.2,Registered,Provisioned,2025-11-04
DEV00062,SITE022,USER00386,Webex App,8851,14.2,None,Provisioned,2026-04-08
DEV00063,SITE015,USER01186,Room Kit,8851,15.1,Registered,Failed,2026-02-27
DEV00064,SITE026,USER00579,Room Kit,8865,14.3,Unregistered,Provisioned,2026-03-11
DEV00065,SITE014,USER00351,Cisco 8851,Room Kit,14.4,Registered,Pending,2026-02-13
DEV00066,SITE023,USER01314,Cisco 8851,8841,14.4,Unregistered,Provisioned,2026-06-30
DEV00067,SITE026,USER01113,Cisco 8841,Webex App,15.1,Registered,Provisioned,2026-05-02
DEV00068,SITE029,USER00808,Cisco 8851,Webex App,15.0,Registered,Provisioned,2026-02-11
DEV00069,SITE031,USER00122,Cisco 8865,8851,15.1,Unregistered,Provisioned,2026-06-25
DEV00070,SITE027,USER02444,Cisco 8851,8841,15.0,Registered,Provisioned,2025-12-23
DEV00071,SITE007,USER01068,Cisco 8851,8865,15.0,Registered,Provisioned,2026-03-23
DEV00072,SITE009,USER00343,Cisco 8841,8841,15.1,Registered,Provisioned,2026-07-23
DEV00073,SITE003,USER01003,Webex App,Webex App,14.2,Registered,Provisioned,2026-01-07
DEV00074,SITE029,USER00208,Cisco 8865,8865,15.0,Registered,Provisioned,2026-03-24
DEV00075,SITE019,USER01239,Webex App,8841,15.1,Unregistered,Provisioned,2026-02-17
DEV00076,SITE016,USER01538,Cisco 8841,8841,14.3,Unregistered,Failed,2026-01-04
DEV00077,SITE011,USER00884,Cisco 8841,8841,14.4,Registered,Provisioned,2026-04-06
DEV00078,SITE021,USER00870,Cisco 8865,8851,15.0,Registered,Provisioned,2026-01-05
DEV00079,SITE007,USER02119,Webex App,Webex App,14.4,Unregistered,Provisioned,2026-02-19
DEV00080,SITE030,USER00662,Cisco 8851,8865,15.0,Registered,Provisioned,2026-02-28
DEV00081,SITE028,USER02391,Room Kit,8851,14.2,Registered,Pending,2026-01-14
DEV00082,SITE004,USER01814,Room Kit,8841,15.1,Registered,Provisioned,2026-05-21
DEV00083,SITE026,USER00532,Cisco 8865,Webex App,15.0,Registered,Provisioned,2026-01-06
DEV00084,SITE003,USER01143,Cisco 8851,8841,14.2,Registered,Provisioned,2025-12-16
DEV00085,SITE016,USER00371,Cisco 8851,8865,14.2,Unregistered,Provisioned,2026-07-21
DEV00086,SITE002,USER02000,Webex App,Room Kit,14.2,Registered,Provisioned,2026-07-11
DEV00087,SITE032,USER00278,Room Kit,8865,14.3,Registered,Provisioned,2026-03-21
DEV00088,SITE025,USER01343,Webex App,8841,14.4,Registered,Provisioned,2026-07-26
DEV00089,SITE034,USER01746,Cisco 8841,Room Kit,15.1,Registered,Provisioned,2026-05-12
DEV00090,SITE002,USER02107,Room Kit,Webex App,14.4,Registered,Pending,2026-03-23
DEV00091,SITE011,USER01764,Cisco 8841,8865,14.4,Unregistered,Failed,2025-11-21
DEV00092,SITE027,USER00090,Cisco 8841,8865,14.3,Registered,Provisioned,2025-12-27
DEV00093,SITE010,USER00081,Webex App,Room Kit,14.4,Registered,Provisioned,2025-11-12
DEV00094,SITE001,USER01906,Cisco 8865,8865,15.1,Registered,Provisioned,2026-04-10
DEV00095,SITE028,USER01948,Webex App,Room Kit,15.1,Registered,Pending,2026-08-13
DEV00096,SITE011,USER02144,Cisco 8851,8841,15.1,Registered,Provisioned,2026-06-03
DEV00097,SITE017,USER00947,Cisco 8851,8865,15.0,Registered,Provisioned,2026-07-27
DEV00098,SITE005,USER01555,Cisco 8851,8851,15.1,Unregistered,Provisioned,2026-08-15
DEV00099,SITE014,USER01640,Room Kit,8841,14.4,None,Provisioned,2026-06-06
DEV00100,SITE020,USER01933,Cisco 8851,8841,14.3,Registered,Provisioned,2026-04-20
DEV00101,SITE027,USER02009,Webex App,Webex App,15.0,Registered,Provisioned,2026-07-02
DEV00102,SITE030,USER00094,Cisco 8841,Webex App,15.0,Registered,Provisioned,2026-03-05
DEV00103,SITE011,USER01682,Cisco 8851,8851,14.3,Unregistered,Provisioned,2025-11-27
DEV00104,SITE035,USER00799,Cisco 8841,Webex App,14.4,Registered,Provisioned,2026-05-24
DEV00105,SITE004,USER01704,Cisco 8865,8841,14.4,Registered,Provisioned,2026-07-23
DEV00106,SITE032,USER02157,Webex App,8865,14.3,Registered,Provisioned,2025-11-10
DEV00107,SITE018,USER00328,Cisco 8851,8841,14.4,Registered,Provisioned,2026-06-06
DEV00108,SITE012,USER00436,Cisco 8865,8851,14.2,Unregistered,Provisioned,2025-11-05
DEV00109,SITE004,USER02027,Cisco 8865,Room Kit,14.2,None,Provisioned,2026-04-09
DEV00110,SITE022,USER00536,Webex App,8851,14.4,None,Provisioned,2025-11-21
DEV00111,SITE017,USER02296,Cisco 8865,8851,14.2,Unregistered,Provisioned,2025-12-06
DEV00112,SITE031,USER00058,Cisco 8851,Webex App,14.4,Registered,Provisioned,2026-05-29
DEV00113,SITE004,USER01582,Room Kit,Webex App,15.1,Registered,Provisioned,2026-04-27
DEV00114,SITE030,USER01805,Cisco 8865,8841,14.4,Registered,Provisioned,2026-01-01
DEV00115,SITE033,USER01437,Webex App,8851,14.4,Registered,Provisioned,2026-05-15
DEV00116,SITE002,USER01540,Room Kit,8865,14.4,Unregistered,Provisioned,2026-05-10
DEV00117,SITE007,USER00274,Cisco 8841,8841,14.3,Registered,Provisioned,2026-02-20
DEV00118,SITE006,USER01744,Cisco 8841,8851,15.0,Registered,Provisioned,2025-11-10
DEV00119,SITE015,USER01692,Room Kit,Room Kit,15.1,Unregistered,Provisioned,2026-05-23
DEV00120,SITE033,USER02339,Cisco 8851,8851,15.1,Registered,Provisioned,2026-07-04
DEV00121,SITE028,USER01837,Cisco 8841,8865,15.1,Registered,Pending,2026-04-13
DEV00122,SITE033,USER00198,Cisco 8865,8851,14.4,Registered,Provisioned,2025-11-09
DEV00123,SITE035,USER01684,Room Kit,Room Kit,15.1,Registered,Provisioned,2026-04-01
DEV00124,SITE027,USER01840,Cisco 8851,Room Kit,15.0,Registered,Provisioned,2026-01-13
DEV00125,SITE010,USER01022,Room Kit,8865,14.3,Registered,Failed,2026-08-07
DEV00126,SITE024,USER01519,Webex App,8851,14.4,Registered,Provisioned,2026-07-17
DEV00127,SITE023,USER01976,Room Kit,8865,14.2,Registered,Provisioned,2026-03-15
DEV00128,SITE029,USER00508,Room Kit,Webex App,14.2,Registered,Provisioned,2025-12-18
DEV00129,SITE024,USER01473,Cisco 8851,8841,15.0,Registered,Pending,2025-11-09
