migration_id,site_id,migration_date,wave,users_planned,users_migrated,devices_planned,devices_migrated,uat_status,deployment_status
MIG00001,SITE001,2026-05-30,Wave 1,35,32,45,38,Passed,Planned
MIG00002,SITE002,2026-03-27,Wave 3,58,48,54,43,Passed with Issues,In Progress
MIG00003,SITE003,2026-05-20,Wave 4,112,92,70,59,Passed with Issues,Completed
MIG00004,SITE004,2026-08-10,Wave 3,96,91,85,72,Passed,Completed
MIG00005,SITE005,2026-07-02,Wave 2,49,43,164,150,Passed with Issues,Completed
MIG00006,SITE006,2026-05-20,Wave 1,118,115,69,63,Passed,Completed
MIG00007,SITE007,2026-08-06,Wave 4,54,52,165,153,Passed,Delayed
MIG00008,SITE008,2026-03-14,Wave 3,59,50,118,113,Passed,Completed
MIG00009,SITE009,2026-01-15,Wave 5,65,58,163,154,Passed,Completed
MIG00010,SITE010,2026-06-10,Wave 2,135,126,82,65,Passed,Completed
MIG00011,SITE011,2026-03-26,Wave 2,65,54,46,44,Pending,In Progress
MIG00012,SITE012,2026-03-10,Wave 5,124,112,115,111,Pending,Completed
MIG00013,SITE013,2026-08-14,Wave 2,34,30,91,80,Passed,Completed
MIG00014,SITE014,2026-04-23,Wave 2,30,28,149,120,Failed,Completed
MIG00015,SITE015,2026-05-01,Wave 5,72,61,100,99,Passed,Planned
MIG00016,SITE016,2026-08-09,Wave 5,51,48,57,53,Passed with Issues,Planned
MIG00017,SITE017,2026-07-17,Wave 4,103,84,163,139,Passed,Completed
MIG00018,SITE018,2026-04-11,Wave 1,128,111,94,81,Passed,Completed
MIG00019,SITE019,2026-05-21,Wave 5,121,112,96,80,Passed,Delayed
MIG00020,SITE020,2026-01-22,Wave 1,107,96,50,48,Passed with Issues,Completed
MIG00021,SITE021,2026-02-12,Wave 3,100,86,171,146,Passed,Completed
MIG00022,SITE022,2026-05-22,Wave 2,111,96,61,56,Passed,Completed
MIG00023,SITE023,2026-06-19,Wave 5,124,124,76,72,Pending,In Progress
MIG00024,SITE024,2026-07-28,Wave 5,132,126,136,133,Passed,In Progress
MIG00025,SITE025,2026-08-21,Wave 3,128,119,111,95,Passed,Delayed
MIG00026,SITE026,2026-05-18,Wave 5,38,32,46,44,Passed with Issues,Completed
MIG00027,SITE027,2026-06-23,Wave 2,78,64,59,54,Pending,Delayed
MIG00028,SITE028,2026-02-08,Wave 5,137,128,154,154,Failed,Delayed
MIG00029,SITE029,2026-05-28,Wave 2,132,125,124,114,Passed,In Progress
MIG00030,SITE030,2026-08-07,Wave 2,146,136,96,89,Failed,Completed
MIG00031,SITE031,2026-05-04,Wave 2,139,118,170,141,Passed,Completed
MIG00032,SITE032,2026-01-04,Wave 4,124,117,88,84,Passed with Issues,Completed
MIG00033,SITE033,2026-05-01,Wave 1,56,52,114,109,Pending,Delayed
MIG00034,SITE034,2026-07-26,Wave 3,40,33,155,128,Passed,Planned
MIG00035,SITE035,2026-03-11,Wave 3,73,69,121,118,Passed,Completed
