user_id,site_id,department,device_type,license_type,provisioning_status,migration_status
USER00001,SITE023,Support,Room Device,Webex Calling Professional,Pending,Migrated
USER00002,SITE032,Operations,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00003,SITE006,Operations,Desk Phone,Webex Calling Standard,Pending,Pending
USER00004,SITE007,Support,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00005,SITE026,HR,Soft Client,Webex Calling Standard,Failed,Failed
USER00006,SITE011,Management,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00007,SITE031,Operations,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00008,SITE011,Management,Mobile,Webex Calling Professional,Provisioned,Pending
USER00009,SITE031,HR,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00010,SITE004,IT,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00011,SITE008,HR,Room Device,Webex Calling Standard,Failed,Migrated
USER00012,SITE021,Support,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00013,SITE006,IT,Mobile,Webex Calling Standard,Provisioned,Failed
USER00014,SITE004,Management,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00015,SITE007,IT,Room Device,Webex Calling Professional,Pending,Pending
USER00016,SITE017,Operations,Desk Phone,Webex Calling Standard,Provisioned,Pending
USER00017,SITE020,Operations,Desk Phone,Webex Calling Standard,Pending,Migrated
USER00018,SITE029,Management,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00019,SITE016,Management,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00020,SITE018,Finance,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00021,SITE034,HR,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00022,SITE010,Finance,Desk Phone,Webex Calling Professional,Provisioned,Failed
USER00023,SITE033,Operations,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00024,SITE001,HR,Desk Phone,Webex Calling Professional,Provisioned,Migrated
USER00025,SITE005,Support,Room Device,Webex Calling Standard,Provisioned,Migrated
USER00026,SITE006,IT,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00027,SITE033,HR,Soft Client,Webex Calling Professional,Pending,Migrated
USER00028,SITE009,Finance,Soft Client,Webex Calling Standard,Provisioned,Migrated
USER00029,SITE014,Operations,Desk Phone,Webex Calling Standard,Provisioned,Migrated
USER00030,SITE011,IT,Mobile,Webex Calling Standard,Failed,Migrated
USER00031,SITE034,Operations,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00032,SITE028,Sales,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00033,SITE019,IT,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00034,SITE034,HR,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00035,SITE001,IT,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00036,SITE028,Management,Soft Client,Webex Calling Professional,Provisioned,Migrated
USER00037,SITE028,Management,Desk Phone,Webex Calling Standard,Provisioned,Pending
USER00038,SITE016,Support,Mobile,Webex Calling Standard,Provisioned,Migrated
USER00039,SITE015,Support,Room Device,Webex Calling Standard,Pending,Failed
USER00040,SITE014,HR,Room Device,Webex Calling Professional,Provisioned,Migrated
USER00041,SITE015,HR,Soft Client,Webex Calling Standard,Provisioned,Migrated
